idwine,Type,Grapes,Harmonize,name
111405,Red,"['Syrah/Shiraz', 'Cabernet Sauvignon']","['Beef', 'Pasta', 'Veal']",JP. Chenet Original Cabernet - Syrah
111406,Red,"['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Pontet-Canet Pauillac (Grand Cru Classé)
111407,Rosé,['Cinsault'],"['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Miraval Côtes de Provence Rosé
111408,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Talbot Saint-Julien (Grand Cru Classé)
111409,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Louis Roederer Brut Premier Champagne
111410,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Cos d'Estournel Cos d'Estournel
111411,Red,"['Merlot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Giscours Château Giscours (Grand Cru Classé)
111412,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Haut-Brion Pessac-Léognan (Premier Grand Cru Classé)
111413,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Latour Grand Vin Pauillac (Premier Grand Cru Classé)
111414,Red,['Grenache'],"['Lamb', 'Pork', 'Poultry']",Château de Beaucastel Châteauneuf-du-Pape
111415,Red,"['Merlot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lafite Rothschild Pauillac (Premier Grand Cru Classé)
111416,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat']",Delas Saint-Esprit Côtes-du-Rhône
111417,Red,"['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Pichon Longueville Comtesse de Lalande Pauillac (Grand Cru Classé)
111418,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Perrier-Jouët Grand Brut Champagne
111419,Rosé,"['Grenache', 'Cinsault', 'Syrah/Shiraz']","['Pasta', 'Vegetarian', 'Appetizer', 'Snack', 'Lean Fish']",Côte des Roses Rosé
111420,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Georges Duboeuf Beaujolais-Villages
111421,Red,['Grenache'],"['Lamb', 'Pork', 'Poultry']",Domaine du Vieux Lazaret Châteauneuf-du-Pape
111422,Red,"['Merlot', 'Cabernet Sauvignon']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Pichon Baron Pauillac (Grand Cru Classé)
111423,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Taittinger Brut (Réserve) Champagne
111424,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Laurent-Perrier Cuvée Rosé Réserve Brut Champagne
111425,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Léoville Barton Saint-Julien (Grand Cru Classé)
111426,Rosé,"['Syrah/Shiraz', 'Grenache', 'Cinsault']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Minuty M Rosé
111427,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre']","['Beef', 'Lamb', 'Game Meat']",Famille Perrin Côtes-du-Rhône Réserve Rouge
111428,Red,['Mourvedre'],"['Lamb', 'Pork', 'Poultry']",Ogier Clos de l'Oratoire des Papes Châteauneuf-du-Pape
111429,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Montrose Saint-Estèphe (Grand Cru Classé)
111430,Red,['Merlot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Pétrus Pomerol
111431,Red,"['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Léoville Poyferré Saint-Julien (Grand Cru Classé)
111432,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Léoville Las Cases Saint-Julien (Grand Cru Classé)
111433,Red,"['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Gruaud Larose Saint-Julien (Grand Cru Classé)
111434,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lagrange Saint-Julien (Grand Cru Classé)
111435,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Taittinger Comtes de Champagne Blanc de Blancs
111436,Red,"['Petit Verdot', 'Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Chateau Palmer Grand Vin de Château Palmer (Grand Cru Classé)
111437,Red,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Cantemerle Haut-Médoc (Grand Cru Classé)
111438,Sparkling,['Pinot Meunier'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Laurent-Perrier La Cuvée Brut Champagne
111439,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lascombes Margaux (Grand Cru Classé)
111440,Sparkling,['Pinot Meunier'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Pol Roger Réserve Brut Champagne
111441,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Clarendelle Bordeaux
111442,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Ducru-Beaucaillou Saint-Julien (Grand Cru Classé)
111443,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Chasse-Spleen Moulis-en-Médoc
111444,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Bollinger La Grande Année Brut Champagne
111445,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Louis Jadot Bourgogne Couvent des Jacobins
111446,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Cheval Blanc Saint-Émilion Grand Cru (Premier Grand Cru Classé)
111447,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château d'Armailhac Pauillac (Grand Cru Classé)
111448,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Pol Roger Extra Cuvée de Réserve Brut Champagne
111449,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Gloria Saint-Julien
111450,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Sociando-Mallet Haut-Médoc
111451,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Brane-Cantenac Margaux (Grand Cru Classé)
111452,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Batailley Pauillac (Grand Cru Classé)
111453,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat']",Paul Jaboulet Aîné Parallèle 45 Côtes du Rhône Rouge Bio
111454,Rosé,['Grenache'],"['Pork', 'Rich Fish', 'Shellfish', 'Poultry']",La Vieille Ferme Rosé
111455,White,['Viognier'],"['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat']",E. Guigal Côtes-du-Rhône Blanc
111456,Red,['Grenache'],"['Beef', 'Lamb', 'Game Meat']",M. Chapoutier Belleruche Côtes-du-Rhône
111457,Red,['Syrah/Shiraz'],"['Lamb', 'Pork', 'Poultry']",Château Mont-Redon Vignoble Abeille Châteauneuf-du-Pape
111458,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Calon-Ségur Saint-Estèphe (Grand Cru Classé)
111459,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre', 'Cinsault']","['Lamb', 'Pork', 'Poultry']",Château La Nerthe Châteauneuf-du-Pape
111460,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Baron de Lestac Bordeaux (Élevé en Fûts de Chêne)
111461,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Ruinart Brut (R de Ruinart) Champagne
111462,Red,"['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Pape Clément Pessac-Léognan (Grand Cru Classé de Graves)
111463,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Louis Jadot Beaujolais-Villages
111464,Dessert,"['Sémillon', 'Sauvignon Blanc']","['Fruit Dessert', 'Blue Cheese']",Château Rieussec Sauternes (Premier Grand Cru Classé)
111465,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre', 'Cinsault']","['Lamb', 'Pork', 'Poultry']",Brotte La Fiole du Pape Père Anselme Châteauneuf-du-Pape
111466,White,['Chardonnay'],"['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat']",Louis Jadot Bourgogne Chardonnay
111467,Red,['Garnacha'],"['Lamb', 'Pork', 'Poultry']",Domaine du Vieux Télégraphe Châteauneuf-du-Pape (La Crau)
111468,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Ruinart Blanc de Blancs Brut Champagne
111469,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lafon-Rochet Saint-Estèphe (Grand Cru Classé)
111470,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",G.H. Mumm (Cordon Rouge) Brut Champagne
111471,White,['Riesling'],"['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat']",Trimbach Riesling Alsace
111472,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Grand-Puy-Lacoste Pauillac (Grand Cru Classé)
111473,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Beychevelle Saint-Julien (Grand Cru Classé)
111474,Red,"['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Potensac Médoc
111475,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Figeac Saint-Émilion Grand Cru (Premier Grand Cru Classé)
111476,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Smith Haut-Lafitte Pessac-Léognan (Grand Cru Classé)
111477,Red,"['Merlot', 'Cabernet Franc']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Fombrauge Saint-Émilion Grand Cru (Grand Cru Classé)
111478,Dessert,"['Sémillon', 'Sauvignon Blanc']","['Fruit Dessert', 'Blue Cheese']",Château Suduiraut Sauternes (Premier Grand Cru Classé)
111479,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Moët & Chandon Impérial Rosé Brut Champagne
111480,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé)
111481,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Phélan Ségur Saint-Estèphe
111482,Red,"['Syrah/Shiraz', 'Grenache']","['Beef', 'Pasta', 'Veal']",Domaine Lafage Bastide Miraflors Vieilles Vignes Syrah - Grenache
111483,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Domaine de Chevalier Pessac-Léognan (Grand Cru Classé de Graves)
111484,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Pommery Royal Brut Champagne
111485,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Laroque Saint-Émilion Grand Cru (Grand Cru Classé)
111486,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Billecart-Salmon Brut Réserve Champagne
111487,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Louis Latour Bourgogne Pinot Noir
111488,Red,['Pinot Noir'],"['Beef', 'Pasta', 'Veal']",Le Grand Noir Pinot Noir
111489,Red,['Cabernet Sauvignon'],"['Beef', 'Pasta', 'Veal']",Roche Mazet Cuvée Spéciale Cabernet Sauvignon
111490,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Krug Grande Cuvée
111491,Red,['Carignan/Cari√±ena'],"['Beef', 'Pasta', 'Veal']",M. Chapoutier Les Vignes de Bila-Haut Côtes du Roussillon Villages
111492,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",E. Guigal Côte-Rôtie Brune & Blonde de Guigal
111493,Sparkling,"['Chardonnay', 'Pinot Noir']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Perrier-Jouët Belle Epoque Brut Champagne
111494,Red,['Grenache'],"['Lamb', 'Pork', 'Poultry']",E. Guigal Châteauneuf-du-Pape
111495,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Duhart-Milon Pauillac (Grand Cru Classé)
111496,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Prieuré-Lichine Margaux (Grand Cru Classé)
111497,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Deutz Classic Brut Champagne
111498,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Haut-Marbuzet Saint-Estèphe
111499,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Branaire-Ducru Saint-Julien (Grand Cru Classé)
111500,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château du Tertre Margaux (Grand Cru Classé)
111501,Red,['Pinot Noir'],"['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry']",Ropiteau Freres Les Plants Nobles Pinot Noir
111502,Rosé,"['Syrah/Shiraz', 'Grenache', 'Cinsault']","['Pork', 'Shellfish', 'Vegetarian', 'Poultry']",Maison Saint Aix AIX Rosé
111503,White,['Grenache Blanc'],"['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat']",La Vieille Ferme Blanc
111504,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Larose-Trintaudon Haut-Médoc
111505,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Léoville Las Cases Château du Grand Parc Saint-Julien
111506,White,['Gros Manseng'],"['Appetizer', 'Rich Fish']",Domaine du Tariquet Côtes de Gascogne Premières Grives
111507,Sparkling,"['Pinot Noir', 'Chardonnay']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Veuve Clicquot La Grande Dame Brut Champagne
111508,Red,['Cabernet Franc'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Rauzan-Ségla Margaux (Grand Cru Classé)
111509,Red,['Pinot Noir'],"['Beef', 'Veal', 'Game Meat', 'Poultry']",Domaine Faiveley Pinot Noir Bourgogne
111510,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Union de Producteurs de Saint-Émilion Saint-Émilion Grand Cru
111511,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Clerc Milon Pauillac (Grand Cru Classé)
111512,Red,"['Cabernet Sauvignon', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Poujeaux Moulis-en-Médoc
111513,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Domaine Marcel Lapierre Morgon
111514,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Pichon Longueville Comtesse de Lalande Réserve (de la Comtesse) Pauillac
111515,Red,['Syrah/Shiraz'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",E. Guigal Crozes-Hermitage Rouge
111516,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château La Lagune Haut-Médoc (3éme Grand Cru Classé en 1855)
111517,Red,"['Syrah/Shiraz', 'Grenache', 'Mourvedre']","['Lamb', 'Pork', 'Poultry']",Château Mont-Redon Vignoble Abeille Châteauneuf-du-Pape
111518,Red,['Gamay Noir'],"['Pasta', 'Veal', 'Pork', 'Poultry']",Louis Jadot Beaujolais-Villages Combe aux Jacques
111519,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Pol Roger Sir Winston Churchill Brut Champagne
111520,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Prévoteau-Perrier Krusador Kasimir Vidit Nox Brut Champagne
111521,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Moët & Chandon Grand Vintage Brut Champagne
111522,Red,"['Syrah/Shiraz', 'Carignan/Cari√±ena', 'Garnacha']","['Beef', 'Pasta', 'Veal']",Jeff Carrel Les Darons Rouge
111523,Dessert,['Sauvignon Blanc'],"['Fruit Dessert', 'Blue Cheese']",Château Guiraud Sauternes (Premier Grand Cru Classé)
111524,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Château de Seguin Bordeaux Supérieur
111525,Sparkling,"['Pinot Noir', 'Pinot Meunier', 'Chardonnay']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Charles Heidsieck Brut Réserve
111526,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Lanson Le Black Label Brut Champagne
111527,Red,"['Petit Verdot', 'Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Chateau Palmer Alter Ego de Château Palmer
111528,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lagrange Les Fiefs de Lagrange Saint-Julien
111529,Red,"['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']","['Beef', 'Veal', 'Game Meat', 'Poultry']",Grand Theatre Bordeaux Rouge
111530,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Simard Saint-Émilion Grand Cru
111531,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château La Tour Carnet Haut-Médoc (Grand Cru Classé)
111532,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Lynch-Moussas Pauillac (Grand Cru Classé)
111533,Red,['Mourvedre'],"['Beef', 'Lamb', 'Game Meat']",Château de Beaucastel Coudoulet de Beaucastel Côtes-du-Rhône
111534,Red,['Pinot Noir'],"['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry']",Louis Latour Domaine de Valmoissine Pinot Noir
111535,Sparkling,['Pinot Noir'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Veuve Clicquot Brut Rosé Champagne
111536,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Citran Haut-Médoc
111537,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Haut-Bages Libéral Pauillac (Grand Cru Classé)
111538,Red,"['Grenache', 'Syrah/Shiraz', 'Carignan/Cari√±ena']","['Beef', 'Pasta', 'Veal']",Gérard Bertrand Grand Terroir Tautavel Grenache - Syrah - Carignan
111539,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Rauzan-Ségla Margaux (Grand Cru Classé)
111540,Red,['Petit Verdot'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Kirwan Margaux (Grand Cru Classé)
111541,White,"['Silvaner/Sylvaner', 'Gew√ºrztraminer', 'Muscat Blanc', 'Pinot Gris', 'Riesling']","['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat']",Hugel Gentil
111542,White,['Chardonnay'],"['Pasta', 'Vegetarian', 'Cured Meat']",Louis Jadot Pouilly-Fuissé
111543,Sparkling,['Pinot Meunier'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Billecart-Salmon Brut Rosé Champagne
111544,Sparkling,['Chardonnay'],"['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Ruinart Dom Ruinart Blanc de Blancs Brut Champagne
111545,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Angludet Margaux
111546,Sparkling,"['Chardonnay', 'Pinot Noir', 'Pinot Meunier']","['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese']",Nicolas Feuillatte Réserve Exclusive Brut Champagne
111547,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Labégorce Margaux
111548,Red,"['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Troplong Mondot Saint-Émilion Grand Cru (Premier Grand Cru Classé)
111549,White,['Sémillon'],"['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish']",Château Carbonnieux Pessac-Léognan Blanc (Grand Cru Classé de Graves)
111550,Red,['Merlot'],"['Beef', 'Pasta', 'Veal']",JP. Chenet Original Merlot
111551,Sparkling,['Pinot Noir'],"['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish']",Louis Bouillot Perle de Vigne Grande Reserve Crémant de Bourgogne Brut
111552,Red,"['Cabernet Sauvignon', 'Merlot']","['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château de Camensac Haut-Médoc (Grand Cru Classé)
111553,Red,['Cabernet Sauvignon'],"['Beef', 'Lamb', 'Game Meat', 'Poultry']",Château Cantenac Brown Margaux (Grand Cru Classé)
