idwine;Type;Grapes;Harmonize;name
111400;Red;['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lynch-Bages Pauillac (Grand Cru Classe)
111401;Dessert;['Semillon', 'Sauvignon Blanc'];['Fruit Dessert', 'Blue Cheese'];Chateau d'Yquem Sauternes
111402;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Louis Roederer Cristal Brut Champagne (Millesime)
111403;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Margaux Chateau Margaux (Premier Grand Cru Classe)
111404;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Louis Jadot Bourgogne Pinot Noir
111406;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pontet-Canet Pauillac (Grand Cru Classe)
111407;Rose;['Cinsault'];['Pork', 'Shellfish', 'Vegetarian', 'Poultry'];Miraval Cotes de Provence Rose
111408;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Talbot Saint-Julien (Grand Cru Classe)
111409;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Louis Roederer Brut Premier Champagne
111410;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Cos d'Estournel Cos d'Estournel
111411;Red;['Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Giscours Chateau Giscours (Grand Cru Classe)
111412;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haut-Brion Pessac-Leognan (Premier Grand Cru Classe)
111413;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Latour Grand Vin Pauillac (Premier Grand Cru Classe)
111414;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Chateau de Beaucastel Chateauneuf-du-Pape
111415;Red;['Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lafite Rothschild Pauillac (Premier Grand Cru Classe)
111417;Red;['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pichon Longueville Comtesse de Lalande Pauillac (Grand Cru Classe)
111418;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Perrier-Jouet Grand Brut Champagne
111420;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Georges Duboeuf Beaujolais-Villages
111421;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Domaine du Vieux Lazaret Chateauneuf-du-Pape
111422;Red;['Merlot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pichon Baron Pauillac (Grand Cru Classe)
111423;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Taittinger Brut (Reserve) Champagne
111424;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Laurent-Perrier Cuvee Rose Reserve Brut Champagne
111425;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Leoville Barton Saint-Julien (Grand Cru Classe)
111428;Red;['Mourvedre'];['Lamb', 'Pork', 'Poultry'];Ogier Clos de l'Oratoire des Papes Chateauneuf-du-Pape
111429;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Montrose Saint-Estephe (Grand Cru Classe)
111430;Red;['Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Petrus Pomerol
111431;Red;['Cabernet Sauvignon', 'Merlot', 'Cabernet Franc', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Leoville Poyferre Saint-Julien (Grand Cru Classe)
111432;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Leoville Las Cases Saint-Julien (Grand Cru Classe)
111433;Red;['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Gruaud Larose Saint-Julien (Grand Cru Classe)
111434;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lagrange Saint-Julien (Grand Cru Classe)
111435;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Taittinger Comtes de Champagne Blanc de Blancs
111436;Red;['Petit Verdot', 'Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Palmer Grand Vin de Chateau Palmer (Grand Cru Classe)
111437;Red;['Cabernet Sauvignon', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Cantemerle Haut-Medoc (Grand Cru Classe)
111438;Sparkling;['Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Laurent-Perrier La Cuvee Brut Champagne
111439;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lascombes Margaux (Grand Cru Classe)
111440;Sparkling;['Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Pol Roger Reserve Brut Champagne
111441;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Clarendelle Bordeaux
111442;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Ducru-Beaucaillou Saint-Julien (Grand Cru Classe)
111443;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Chasse-Spleen Moulis-en-Medoc
111444;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Bollinger La Grande Annee Brut Champagne
111445;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Louis Jadot Bourgogne Couvent des Jacobins
111446;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Cheval Blanc Saint-Emilion Grand Cru (Premier Grand Cru Classe)
111447;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau d'Armailhac Pauillac (Grand Cru Classe)
111448;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Pol Roger Extra Cuvee de Reserve Brut Champagne
111449;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Gloria Saint-Julien
111450;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Sociando-Mallet Haut-Medoc
111451;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Brane-Cantenac Margaux (Grand Cru Classe)
111452;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Batailley Pauillac (Grand Cru Classe)
111454;Rose;['Grenache'];['Pork', 'Rich Fish', 'Shellfish', 'Poultry'];La Vieille Ferme Rose
111455;White;['Viognier'];['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat'];E. Guigal Cotes-du-Rhone Blanc
111456;Red;['Grenache'];['Beef', 'Lamb', 'Game Meat'];M. Chapoutier Belleruche Cotes-du-Rhone
111458;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Calon-Segur Saint-Estephe (Grand Cru Classe)
111460;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Baron de Lestac Bordeaux (Eleve en Futs de Chene)
111461;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Ruinart Brut (R de Ruinart) Champagne
111462;Red;['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pape Clement Pessac-Leognan (Grand Cru Classe de Graves)
111463;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Louis Jadot Beaujolais-Villages
111464;Dessert;['Semillon', 'Sauvignon Blanc'];['Fruit Dessert', 'Blue Cheese'];Chateau Rieussec Sauternes (Premier Grand Cru Classe)
111466;White;['Chardonnay'];['Pasta', 'Rich Fish', 'Shellfish', 'Soft Cheese', 'Cured Meat'];Louis Jadot Bourgogne Chardonnay
111467;Red;['Garnacha'];['Lamb', 'Pork', 'Poultry'];Domaine du Vieux Telegraphe Chateauneuf-du-Pape (La Crau)
111468;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Ruinart Blanc de Blancs Brut Champagne
111469;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lafon-Rochet Saint-Estephe (Grand Cru Classe)
111470;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];G.H. Mumm (Cordon Rouge) Brut Champagne
111471;White;['Riesling'];['Pork', 'Rich Fish', 'Spicy Food', 'Vegetarian', 'Cured Meat'];Trimbach Riesling Alsace
111472;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Grand-Puy-Lacoste Pauillac (Grand Cru Classe)
111473;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Beychevelle Saint-Julien (Grand Cru Classe)
111474;Red;['Petit Verdot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Potensac Medoc
111475;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Figeac Saint-Emilion Grand Cru (Premier Grand Cru Classe)
111476;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Smith Haut-Lafitte Pessac-Leognan (Grand Cru Classe)
111477;Red;['Merlot', 'Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Fombrauge Saint-Emilion Grand Cru (Grand Cru Classe)
111478;Dessert;['Semillon', 'Sauvignon Blanc'];['Fruit Dessert', 'Blue Cheese'];Chateau Suduiraut Sauternes (Premier Grand Cru Classe)
111480;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Angelus Saint-Emilion Grand Cru (Premier Grand Cru Classe)
111481;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Phelan Segur Saint-Estephe
111483;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Domaine de Chevalier Pessac-Leognan (Grand Cru Classe de Graves)
111484;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Pommery Royal Brut Champagne
111485;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Laroque Saint-Emilion Grand Cru (Grand Cru Classe)
111486;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Billecart-Salmon Brut Reserve Champagne
111487;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Louis Latour Bourgogne Pinot Noir
111488;Red;['Pinot Noir'];['Beef', 'Pasta', 'Veal'];Le Grand Noir Pinot Noir
111489;Red;['Cabernet Sauvignon'];['Beef', 'Pasta', 'Veal'];Roche Mazet Cuvee Speciale Cabernet Sauvignon
111490;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Krug Grande Cuvee
111493;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Perrier-Jouet Belle Epoque Brut Champagne
111494;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];E. Guigal Chateauneuf-du-Pape
111495;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Duhart-Milon Pauillac (Grand Cru Classe)
111496;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Prieure-Lichine Margaux (Grand Cru Classe)
111497;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Deutz Classic Brut Champagne
111498;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haut-Marbuzet Saint-Estephe
111499;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Branaire-Ducru Saint-Julien (Grand Cru Classe)
111500;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau du Tertre Margaux (Grand Cru Classe)
111501;Red;['Pinot Noir'];['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry'];Ropiteau Freres Les Plants Nobles Pinot Noir
111503;White;['Grenache Blanc'];['Pork', 'Rich Fish', 'Maturated Cheese', 'Hard Cheese', 'Poultry', 'Cured Meat'];La Vieille Ferme Blanc
111504;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Larose-Trintaudon Haut-Medoc
111505;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Leoville Las Cases Chateau du Grand Parc Saint-Julien
111506;White;['Gros Manseng'];['Appetizer', 'Rich Fish'];Domaine du Tariquet Cotes de Gascogne Premieres Grives
111507;Sparkling;['Pinot Noir', 'Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Veuve Clicquot La Grande Dame Brut Champagne
111508;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Rauzan-Segla Margaux (Grand Cru Classe)
111509;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Domaine Faiveley Pinot Noir Bourgogne
111510;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Union de Producteurs de Saint-Emilion Saint-Emilion Grand Cru
111511;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Clerc Milon Pauillac (Grand Cru Classe)
111512;Red;['Cabernet Sauvignon', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Poujeaux Moulis-en-Medoc
111513;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Domaine Marcel Lapierre Morgon
111514;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pichon Longueville Comtesse de Lalande Reserve (de la Comtesse) Pauillac
111516;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Lagune Haut-Medoc (3eme Grand Cru Classe en 1855)
111518;Red;['Gamay Noir'];['Pasta', 'Veal', 'Pork', 'Poultry'];Louis Jadot Beaujolais-Villages Combe aux Jacques
111519;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Pol Roger Sir Winston Churchill Brut Champagne
111520;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Prevoteau-Perrier Krusador Kasimir Vidit Nox Brut Champagne
111523;Dessert;['Sauvignon Blanc'];['Fruit Dessert', 'Blue Cheese'];Chateau Guiraud Sauternes (Premier Grand Cru Classe)
111524;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau de Seguin Bordeaux Superieur
111525;Sparkling;['Pinot Noir', 'Pinot Meunier', 'Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Charles Heidsieck Brut Reserve
111526;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Lanson Le Black Label Brut Champagne
111527;Red;['Petit Verdot', 'Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Palmer Alter Ego de Chateau Palmer
111528;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lagrange Les Fiefs de Lagrange Saint-Julien
111529;Red;['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Grand Theatre Bordeaux Rouge
111530;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Simard Saint-Emilion Grand Cru
111531;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Tour Carnet Haut-Medoc (Grand Cru Classe)
111532;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lynch-Moussas Pauillac (Grand Cru Classe)
111533;Red;['Mourvedre'];['Beef', 'Lamb', 'Game Meat'];Chateau de Beaucastel Coudoulet de Beaucastel Cotes-du-Rhone
111534;Red;['Pinot Noir'];['Veal', 'Pork', 'Game Meat', 'Rich Fish', 'Poultry'];Louis Latour Domaine de Valmoissine Pinot Noir
111535;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Veuve Clicquot Brut Rose Champagne
111536;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Citran Haut-Medoc
111537;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Haut-Bages Liberal Pauillac (Grand Cru Classe)
111539;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Rauzan-Segla Margaux (Grand Cru Classe)
111540;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Kirwan Margaux (Grand Cru Classe)
111542;White;['Chardonnay'];['Pasta', 'Vegetarian', 'Cured Meat'];Louis Jadot Pouilly-Fuisse
111543;Sparkling;['Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Billecart-Salmon Brut Rose Champagne
111544;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Ruinart Dom Ruinart Blanc de Blancs Brut Champagne
111545;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Angludet Margaux
111546;Sparkling;['Chardonnay', 'Pinot Noir', 'Pinot Meunier'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Nicolas Feuillatte Reserve Exclusive Brut Champagne
111547;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Labegorce Margaux
111548;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Troplong Mondot Saint-Emilion Grand Cru (Premier Grand Cru Classe)
111549;White;['Semillon'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Chateau Carbonnieux Pessac-Leognan Blanc (Grand Cru Classe de Graves)
111550;Red;['Merlot'];['Beef', 'Pasta', 'Veal'];JP. Chenet Original Merlot
111551;Sparkling;['Pinot Noir'];['Shellfish', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Louis Bouillot Perle de Vigne Grande Reserve Cremant de Bourgogne Brut
111552;Red;['Cabernet Sauvignon', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau de Camensac Haut-Medoc (Grand Cru Classe)
111553;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Cantenac Brown Margaux (Grand Cru Classe)
111555;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lanessan Haut-Medoc
111556;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Ormes de Pez Saint-Estephe
111557;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Margaux Pavillon Rouge du Chateau Margaux
111558;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Pegau Cuvee Reservee Chateauneuf-du-Pape Rouge
111559;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Clos des Papes (Paul Avril) Chateauneuf-du-Pape
111560;Red;['Cabernet Franc', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Malescot St. Exupery Margaux (Grand Cru Classe)
111561;Red;['Cabernet Franc', 'Merlot', 'Petit Verdot', 'Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Carbonnieux Pessac-Leognan Blanc (Grand Cru Classe de Graves)
111562;Sparkling;['Chardonnay', 'Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Louis Roederer Rose Brut Champagne (Vintage)
111563;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Pavie Saint-Emilion Grand Cru (Premier Grand Cru Classe)
111564;White;['Geworztraminer'];['Pork', 'Rich Fish', 'Spicy Food', 'Poultry', 'Soft Cheese'];Trimbach Riesling Alsace
111565;White;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Joseph Drouhin Drouhin - Vaudon Chablis Reserve De Vaudon
111567;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Andre Clouet Grande Reserve Brut Champagne Grand Cru 'Bouzy'
111568;White;['Chardonnay'];['Pasta', 'Vegetarian', 'Poultry', 'Lean Fish', 'Appetizer'];Le Grand Noir Chardonnay
111570;Red;['Cabernet Franc'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Mission Haut-Brion Pessac-Leognan (Grand Cru Classe de Graves)
111572;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Gruaud Larose Sarget de Gruaud Larose Saint-Julien
111573;Red;['Petit Verdot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Lilian Ladouys Saint-Estephe
111574;Red;['Pinot Noir'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Joseph Drouhin Laforet Bourgogne Pinot Noir
111575;Red;['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau Magnol Haut-Medoc
111576;White;['Sauvignon Blanc', 'Semillon'];['Pork', 'Vegetarian', 'Poultry', 'Appetizer', 'Snack', 'Lean Fish'];Chateau Guiraud Le G de Guiraud Bordeaux Blanc Sec
111577;Red;['Cabernet Sauvignon', 'Tannat'];['Beef', 'Lamb', 'Spicy Food', 'Poultry'];Chateau Montus Madiran
111580;Red;['Grenache'];['Lamb', 'Pork', 'Poultry'];Clos des Brusquieres Chateauneuf-du-Pape
111581;Red;['Grenache'];['Beef', 'Lamb', 'Game Meat'];Cellier des Dauphins Les Dauphins Cotes du Rhone Reserve Rouge
111582;Red;['Merlot'];['Beef', 'Veal', 'Game Meat', 'Poultry'];Chateau Mont-Perat Bordeaux
111583;Sparkling;['Pinot Noir'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Dom Perignon Brut Rose Champagne
111584;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau d'Issan Margaux (Grand Cru Classe)
111585;Sparkling;['Chardonnay'];['Pork', 'Rich Fish', 'Shellfish', 'Soft Cheese'];Drappier Carte d'Or Brut Champagne
111586;Red;['Cabernet Sauvignon'];['Beef', 'Lamb', 'Game Meat', 'Poultry'];Chateau La Tour de By Medoc
